parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_extended
196,"Location (35.1336, -85.2397)",11768.734524876905,6,420,1,146,3.08,1.47,100.0,85.24,8.33,100.0,34.83,Excellent - High Frequency,High Reliability,221
29,"Location (35.0365, -85.1552)",5012.728347499456,12,1345,1,293,6.15,4.7,100.0,70.37,8.33,62.66,34.34,Excellent - High Frequency,High Reliability,222
156,"Location (35.0327, -85.1841)",6921.977172744164,10,1035,1,263,5.13,3.61,100.0,73.41,8.33,86.52,34.21,Excellent - High Frequency,High Reliability,223
82,"Location (35.0981, -85.2447)",10668.924524613412,5,111,2,213,2.56,0.39,100.0,78.46,16.67,100.0,34.19,Excellent - High Frequency,High Reliability,224
115,"Location (35.0331, -85.1567)",5416.221546708479,7,828,1,236,3.59,2.89,100.0,76.14,8.33,67.7,34.02,Excellent - High Frequency,High Reliability,225
219,"Location (35.0754, -85.2644)",12207.120358534537,11,307,2,291,5.64,1.07,100.0,70.58,16.67,100.0,33.99,Excellent - High Frequency,High Reliability,226
90,Highland Plaza,12767.793759533346,3,180,1,170,1.54,0.63,100.0,82.81,8.33,100.0,33.83,Excellent - High Frequency,High Reliability,227
217,"Location (35.0152, -85.2208)",10713.627930885033,24,2482,1,509,12.31,8.67,100.0,48.53,8.33,100.0,33.79,Excellent - High Frequency,High Reliability,228
13,"Location (35.1397, -85.2457)",12593.87923343029,3,180,1,174,1.54,0.63,100.0,82.41,8.33,100.0,33.77,Excellent - High Frequency,High Reliability,229
362,"Location (35.0056, -85.2211)",11438.427933220059,23,2379,1,505,11.79,8.31,100.0,48.94,8.33,100.0,33.62,Excellent - High Frequency,High Reliability,230
42,"Location (35.0338, -85.1606)",5512.802843370634,7,828,1,268,3.59,2.89,100.0,72.9,8.33,68.91,33.53,Excellent - High Frequency,High Reliability,231
70,"Location (35.1287, -85.2380)",11352.004533771475,7,434,1,249,3.59,1.52,100.0,74.82,8.33,100.0,33.41,Excellent - High Frequency,High Reliability,232
187,"Location (35.1345, -85.2393)",11793.705698179541,6,420,1,244,3.08,1.47,100.0,75.33,8.33,100.0,33.34,Excellent - High Frequency,High Reliability,233
10,"Location (35.0348, -85.1568)",5249.99127523449,10,1138,1,338,5.13,3.97,100.0,65.82,8.33,65.62,33.18,Excellent - High Frequency,High Reliability,234
86,"Location (35.1268, -85.2384)",11284.862676867533,10,614,1,306,5.13,2.14,100.0,69.06,8.33,100.0,33.12,Excellent - High Frequency,High Reliability,235
16,"Location (35.1371, -85.2424)",12191.700807045909,4,300,1,234,2.05,1.05,100.0,76.34,8.33,100.0,33.11,Excellent - High Frequency,High Reliability,236
303,"Location (35.0959, -85.2549)",11535.472456274978,5,113,2,289,2.56,0.39,100.0,70.78,16.67,100.0,33.04,Excellent - High Frequency,High Reliability,237
376,"Location (35.0964, -85.2532)",11394.525841731122,5,113,2,289,2.56,0.39,100.0,70.78,16.67,100.0,33.04,Excellent - High Frequency,High Reliability,238
