parking_id,name,distance_to_vw_m,num_stops,total_daily_trips,num_routes,nearest_stop_distance_m,stops_score,frequency_score,reliability_score,proximity_score,diversity_score,distance_score,accessibility_score,service_quality,reliability_class,rank_conservative
265,"Location (35.0373, -85.2639)",12932.748172394337,19,580,1,244,22.89,3.91,100.0,50.0,9.09,100.0,35.31,Excellent - High Frequency,High Reliability,166
36,"Location (35.0142, -85.2121)",10189.562171026239,7,653,1,133,8.43,4.41,100.0,72.75,9.09,100.0,35.25,Excellent - High Frequency,High Reliability,167
260,"Location (35.0441, -85.2600)",12359.246070143075,20,503,1,251,24.1,3.39,100.0,48.57,9.09,100.0,35.24,Excellent - High Frequency,High Reliability,168
302,"Location (35.0072, -85.2079)",10470.405637369466,8,828,1,158,9.64,5.59,100.0,67.62,9.09,100.0,35.14,Excellent - High Frequency,High Reliability,169
96,"Location (35.0152, -85.2073)",9794.010470838497,6,549,1,120,7.23,3.7,100.0,75.41,9.09,100.0,35.14,Excellent - High Frequency,High Reliability,170
151,"Location (35.1293, -85.2475)",12135.321891554366,5,254,1,100,6.02,1.71,100.0,79.51,9.09,100.0,34.86,Excellent - High Frequency,High Reliability,171
75,"Location (35.0366, -85.1597)",5209.900613742207,2,310,1,75,2.41,2.09,100.0,84.63,9.09,65.12,34.83,Excellent - High Frequency,Moderate Reliability,172
210,"Location (35.0323, -85.1595)",5612.268163857909,2,207,1,74,2.41,1.4,100.0,84.84,9.09,70.15,34.66,Excellent - High Frequency,Moderate Reliability,173
38,"Location (35.0084, -85.2163)",10911.536282753124,13,1345,1,261,15.66,9.07,100.0,46.52,9.09,100.0,34.52,Excellent - High Frequency,High Reliability,174
34,"Location (35.1296, -85.2415)",11679.814236324572,4,300,1,110,4.82,2.02,100.0,77.46,9.09,100.0,34.34,Excellent - High Frequency,High Reliability,175
214,"Location (35.0229, -85.2482)",12298.450923569515,10,990,1,217,12.05,6.68,100.0,55.53,9.09,100.0,34.25,Excellent - High Frequency,High Reliability,176
67,"Location (35.0378, -85.2588)",12478.18452894339,13,494,1,215,15.66,3.33,100.0,55.94,9.09,100.0,34.22,Excellent - High Frequency,High Reliability,177
169,"Location (35.0316, -85.3046)",16657.427646026077,18,1284,2,349,21.69,8.66,100.0,28.48,18.18,83.43,34.11,Excellent - High Frequency,High Reliability,178
28,"Location (35.0404, -85.3213)",17860.43358914865,6,378,1,144,7.23,2.55,100.0,70.49,9.09,71.4,34.06,Excellent - High Frequency,High Reliability,179
91,"Location (35.0241, -85.2913)",15788.482377443996,13,234,1,208,15.66,1.58,100.0,57.38,9.09,92.12,33.9,Excellent - High Frequency,High Reliability,180
