recommendation_rank,parkride_name,overall_rank,user_specific_score,origin_to_parking_m,origin_to_parking_miles,drive_time_minutes,distance_to_vw_m,distance_to_vw_miles,transit_time_minutes,total_travel_time_minutes,total_distance_miles,daily_transit_trips,service_quality,suitability_rating,capacity,recommendation_label
1,"Location (35.0168, -85.2999)",4,,4394.737599043476,2.73,7,16831.13678409337,10.46,40,67,13.19,,,Poor - Not Recommended,2101.0,🥇 PRIMARY RECOMMENDATION
2,"Location (35.1466, -85.2510)",9,,14702.072694868988,9.14,22,13425.069605091669,8.34,32,74,17.48,,,Poor - Not Recommended,1085.0,🥈 ALTERNATIVE 1
3,"Location (35.1160, -85.2772)",1,,11541.898294546292,7.17,17,14055.149087703587,8.73,34,71,15.91,,,Poor - Not Recommended,786.0,🥉 ALTERNATIVE 2
