recommendation_rank,parkride_name,overall_rank,user_specific_score,origin_to_parking_m,origin_to_parking_miles,drive_time_minutes,distance_to_vw_m,distance_to_vw_miles,transit_time_minutes,total_travel_time_minutes,total_distance_miles,daily_transit_trips,service_quality,suitability_rating,capacity,recommendation_label
1,"Location (35.0058, -85.2325)",11,,8310.45755198128,5.16,12,12198.095708150671,7.58,29,62,12.74,,,Poor - Not Recommended,102.0,🥇 PRIMARY RECOMMENDATION
2,"Location (35.1466, -85.2510)",9,,12421.011310988519,7.72,19,13425.069605091669,8.34,32,71,16.06,,,Poor - Not Recommended,1085.0,🥈 ALTERNATIVE 1
3,"Location (35.1160, -85.2772)",1,,8358.172449850435,5.19,13,14055.149087703587,8.73,34,66,13.93,,,Poor - Not Recommended,786.0,🥉 ALTERNATIVE 2
